"Year";"Region";"Population";"Sex";"Length (cm)";"Length (mm)";"Latitude"
2010;"North";"Nahant";"M";1.7;17;42.427096
2010;"North";"Nahant";"M";1.7;17;42.427096
2010;"North";"Nahant";"M";1.6;16;42.427096
2010;"North";"Nahant";"M";1.6;16;42.427096
2010;"North";"Nahant";"M";1.6;16;42.427096
2010;"North";"Nahant";"M";1.55;15.5;42.427096
2010;"North";"Nahant";"M";1.5;15;42.427096
2010;"North";"Nahant";"M";1.5;15;42.427096
2010;"North";"Nahant";"M";1.5;15;42.427096
2010;"North";"Nahant";"M";1.5;15;42.427096
2010;"North";"Nahant";"M";1.5;15;42.427096
2010;"North";"Nahant";"M";1.5;15;42.427096
2010;"North";"Nahant";"M";1.45;14.5;42.427096
2010;"North";"Nahant";"M";1.45;14.5;42.427096
2010;"North";"Nahant";"M";1.45;14.5;42.427096
2010;"North";"Nahant";"M";1.4;14;42.427096
2010;"North";"Nahant";"M";1.4;14;42.427096
2010;"North";"Nahant";"M";1.4;14;42.427096
2010;"North";"Nahant";"M";1.4;14;42.427096
2010;"North";"Nahant";"M";1.4;14;42.427096
2010;"North";"Nahant";"M";1.4;14;42.427096
2010;"North";"Nahant";"M";1.35;13.5;42.427096
2010;"North";"Nahant";"M";1.3;13;42.427096
2010;"North";"Nahant";"M";1.2;12;42.427096
2010;"North";"Nahant";"M";1.2;12;42.427096
2010;"North";"Nahant";"M";1.2;12;42.427096
2010;"North";"Nahant";"M";1.2;12;42.427096
2010;"North";"Nahant";"M";1.2;12;42.427096
2010;"North";"Nahant";"M";1.2;12;42.427096
2010;"North";"Nahant";"M";1.15;11.5;42.427096
2010;"North";"Nahant";"M";1;10;42.427096
2005;"South";"VIMS";"F";1.35;13.5;37.2204206
2005;"South";"VIMS";"F";1.35;13.5;37.2204206
2005;"South";"VIMS";"F";1.35;13.5;37.2204206
2005;"South";"VIMS";"F";1.35;13.5;37.2204206
2005;"South";"VIMS";"F";1.3;13;37.2204206
2005;"South";"VIMS";"F";1.3;13;37.2204206
2005;"South";"VIMS";"F";1.3;13;37.2204206
2005;"South";"VIMS";"F";1.3;13;37.2204206
2005;"South";"VIMS";"F";1.3;13;37.2204206
2005;"South";"VIMS";"F";1.3;13;37.2204206
2005;"South";"VIMS";"F";1.25;12.5;37.2204206
2005;"South";"VIMS";"F";1.25;12.5;37.2204206
2005;"South";"VIMS";"F";1.2;12;37.2204206
2005;"South";"VIMS";"F";1.2;12;37.2204206
2005;"South";"VIMS";"F";1.2;12;37.2204206
2005;"South";"VIMS";"F";1.2;12;37.2204206
2005;"South";"VIMS";"F";1.2;12;37.2204206
2005;"South";"VIMS";"F";1.2;12;37.2204206
2005;"South";"VIMS";"F";1.2;12;37.2204206
2005;"South";"VIMS";"F";1.2;12;37.2204206
2005;"South";"VIMS";"F";1.15;11.5;37.2204206
2005;"South";"VIMS";"F";1.15;11.5;37.2204206
2005;"South";"VIMS";"F";1.1;11;37.2204206
2005;"South";"VIMS";"F";1.1;11;37.2204206
2005;"South";"VIMS";"F";1.1;11;37.2204206
2005;"South";"VIMS";"F";1.1;11;37.2204206
2005;"South";"VIMS";"F";1.1;11;37.2204206
2005;"South";"VIMS";"F";1.1;11;37.2204206
2005;"South";"VIMS";"F";1.1;11;37.2204206
2005;"South";"VIMS";"F";1.05;10.5;37.2204206
2005;"South";"VIMS";"F";1.05;10.5;37.2204206
2005;"South";"VIMS";"F";1.05;10.5;37.2204206
2005;"South";"VIMS";"F";1;10;37.2204206
2005;"South";"VIMS";"F";1;10;37.2204206
2005;"South";"VIMS";"F";1;10;37.2204206
2005;"South";"VIMS";"F";1;10;37.2204206
2005;"South";"VIMS";"F";1;10;37.2204206
2005;"South";"VIMS";"F";1;10;37.2204206
2005;"South";"VIMS";"F";1;10;37.2204206
2005;"South";"VIMS";"F";1;10;37.2204206
2005;"South";"VIMS";"F";0.95;9.5;37.2204206
2005;"South";"VIMS";"F";0.95;9.5;37.2204206
2005;"South";"VIMS";"F";0.95;9.5;37.2204206
2005;"South";"VIMS";"F";0.95;9.5;37.2204206
2005;"South";"VIMS";"F";0.95;9.5;37.2204206
2005;"South";"VIMS";"F";0.95;9.5;37.2204206
2005;"South";"VIMS";"F";0.95;9.5;37.2204206
2005;"South";"VIMS";"F";0.95;9.5;37.2204206
2005;"South";"VIMS";"F";0.85;8.5;37.2204206
2005;"South";"VIMS";"F";0.8;8;37.2204206
2005;"South";"VIMS";"M";2.15;21.5;37.2204206
2005;"South";"VIMS";"M";2.15;21.5;37.2204206
2005;"South";"VIMS";"M";1.9;19;37.2204206
2005;"South";"VIMS";"M";1.9;19;37.2204206
2005;"South";"VIMS";"M";1.9;19;37.2204206
2005;"South";"VIMS";"M";1.85;18.5;37.2204206
2005;"South";"VIMS";"M";1.8;18;37.2204206
2005;"South";"VIMS";"M";1.5;15;37.2204206
2005;"South";"VIMS";"M";1.45;14.5;37.2204206
2005;"South";"VIMS";"M";1.4;14;37.2204206
2005;"South";"VIMS";"M";1.4;14;37.2204206
2005;"South";"VIMS";"M";1.4;14;37.2204206
2005;"South";"VIMS";"M";1.4;14;37.2204206
2005;"South";"VIMS";"M";1.4;14;37.2204206
2005;"South";"VIMS";"M";1.4;14;37.2204206
2005;"South";"VIMS";"M";1.4;14;37.2204206
2005;"South";"VIMS";"M";1.35;13.5;37.2204206
2005;"South";"VIMS";"M";1.35;13.5;37.2204206
2005;"South";"VIMS";"M";1.35;13.5;37.2204206
2005;"South";"VIMS";"M";1.3;13;37.2204206
2005;"South";"VIMS";"M";1.3;13;37.2204206
2005;"South";"VIMS";"M";1.3;13;37.2204206
2005;"South";"VIMS";"M";1.3;13;37.2204206
2005;"South";"VIMS";"M";1.3;13;37.2204206
2005;"South";"VIMS";"M";1.3;13;37.2204206
2005;"South";"VIMS";"M";1.3;13;37.2204206
2005;"South";"VIMS";"M";1.25;12.5;37.2204206
2005;"South";"VIMS";"M";1.25;12.5;37.2204206
2005;"South";"VIMS";"M";1.25;12.5;37.2204206
2005;"South";"VIMS";"M";1.25;12.5;37.2204206
2005;"South";"VIMS";"M";1.25;12.5;37.2204206
2005;"South";"VIMS";"M";1.25;12.5;37.2204206
2005;"South";"VIMS";"M";1.2;12;37.2204206
2005;"South";"VIMS";"M";1.2;12;37.2204206
2005;"South";"VIMS";"M";1.2;12;37.2204206
2005;"South";"VIMS";"M";1.2;12;37.2204206
2005;"South";"VIMS";"M";1.2;12;37.2204206
2005;"South";"VIMS";"M";1.2;12;37.2204206
2005;"South";"VIMS";"M";1.2;12;37.2204206
2005;"South";"VIMS";"M";1.2;12;37.2204206
2005;"South";"VIMS";"M";1.2;12;37.2204206
2005;"South";"VIMS";"M";1.2;12;37.2204206
2005;"South";"VIMS";"M";1.2;12;37.2204206
2005;"South";"VIMS";"M";1.2;12;37.2204206
2005;"South";"VIMS";"M";1.15;11.5;37.2204206
2005;"South";"VIMS";"M";1.1;11;37.2204206
2005;"South";"VIMS";"M";1.1;11;37.2204206
2005;"South";"VIMS";"M";1.1;11;37.2204206
2005;"South";"VIMS";"M";1.1;11;37.2204206
2005;"South";"VIMS";"M";1.1;11;37.2204206
2011;"North";"Wellfleet";"M";;24.5;41.9375
2011;"North";"Wellfleet";"M";;23.5;41.9375
2011;"North";"Wellfleet";"M";;24;41.9375
2011;"North";"Wellfleet";"M";;23;41.9375
2011;"North";"Wellfleet";"M";;20.5;41.9375
2011;"North";"Wellfleet";"M";;26.5;41.9375
2011;"North";"Wellfleet";"M";;25;41.9375
2011;"North";"Wellfleet";"M";;22;41.9375
2011;"North";"Wellfleet";"M";;20.5;41.9375
2011;"North";"Wellfleet";"M";;25;41.9375
2011;"North";"Wellfleet";"M";;21;41.9375
2011;"North";"Wellfleet";"M";;25;41.9375
2011;"North";"Wellfleet";"M";;24;41.9375
2011;"North";"Wellfleet";"M";;21;41.9375
2011;"North";"Wellfleet";"M";;26.5;41.9375
2011;"North";"Wellfleet";"M";;24;41.9375
2011;"North";"Wellfleet";"M";;28;41.9375
2011;"North";"Wellfleet";"M";;25;41.9375
2011;"North";"Wellfleet";"M";;24;41.9375
2011;"North";"Wellfleet";"M";;24;41.9375
2011;"North";"Wellfleet";"M";;21.5;41.9375
2011;"North";"Wellfleet";"M";;25;41.9375
2011;"North";"Wellfleet";"M";;24;41.9375
2011;"North";"Wellfleet";"M";;22;41.9375
2011;"North";"Wellfleet";"M";;21.5;41.9375
2011;"North";"Wellfleet";"M";;22;41.9375
2011;"North";"Wellfleet";"M";;23;41.9375
2011;"North";"Wellfleet";"M";;24.5;41.9375
2011;"North";"Wellfleet";"M";;22;41.9375
2011;"North";"Wellfleet";"M";;22;41.9375
2011;"North";"Wellfleet";"M";;22;41.9375
2011;"North";"Wellfleet";"M";;22;41.9375
2011;"North";"Wellfleet";"M";;21;41.9375
2011;"North";"Wellfleet";"M";;22;41.9375
2011;"North";"Wellfleet";"M";;22;41.9375
2011;"North";"Wellfleet";"M";;25;41.9375
2011;"North";"Wellfleet";"M";;22;41.9375
2011;"North";"Wellfleet";"M";;22;41.9375
2011;"North";"Wellfleet";"M";;24;41.9375
2011;"North";"Wellfleet";"M";;25;41.9375
2011;"North";"Wellfleet";"M";;21;41.9375
2011;"North";"Wellfleet";"M";;21;41.9375
2011;"North";"Wellfleet";"M";;20;41.9375
2011;"North";"Wellfleet";"M";;25;41.9375
2011;"North";"Wellfleet";"M";;23;41.9375
2011;"North";"Wellfleet";"M";;26;41.9375
2011;"North";"Wellfleet";"M";;23.5;41.9375
2011;"North";"Wellfleet";"M";;24;41.9375
2011;"North";"Wellfleet";"M";;24;41.9375
2011;"North";"Wellfleet";"M";;28;41.9375
2011;"North";"Wellfleet";"F";;17.5;41.9375
2011;"North";"Wellfleet";"F";;18;41.9375
2011;"North";"Wellfleet";"F";;17;41.9375
2011;"North";"Wellfleet";"F";;16;41.9375
2011;"North";"Wellfleet";"F";;15.5;41.9375
2011;"North";"Wellfleet";"F";;18;41.9375
2011;"North";"Wellfleet";"F";;15;41.9375
2011;"North";"Wellfleet";"F";;15;41.9375
2011;"North";"Wellfleet";"F";;16;41.9375
2011;"North";"Wellfleet";"F";;16;41.9375
2011;"North";"Wellfleet";"F";;16;41.9375
2011;"North";"Wellfleet";"F";;18;41.9375
2011;"North";"Wellfleet";"F";;15;41.9375
2011;"North";"Wellfleet";"F";;15;41.9375
2011;"North";"Wellfleet";"F";;15;41.9375
2011;"North";"Wellfleet";"F";;15;41.9375
2011;"North";"Wellfleet";"F";;15;41.9375
2011;"North";"Wellfleet";"F";;16;41.9375
2011;"North";"Wellfleet";"F";;16;41.9375
2011;"North";"Wellfleet";"F";;16;41.9375
2011;"North";"Wellfleet";"F";;15.5;41.9375
2011;"North";"Wellfleet";"F";;15;41.9375
2011;"North";"Wellfleet";"F";;15;41.9375
2011;"North";"Wellfleet";"F";;15;41.9375
2011;"North";"Wellfleet";"F";;15;41.9375
2011;"North";"Wellfleet";"F";;18;41.9375
2011;"North";"Wellfleet";"F";;17.5;41.9375
2011;"North";"Wellfleet";"F";;17;41.9375
2011;"North";"Wellfleet";"F";;15;41.9375
2011;"North";"Wellfleet";"F";;16;41.9375
2011;"North";"Wellfleet";"F";;17;41.9375
2011;"North";"Wellfleet";"F";;16;41.9375
2011;"North";"Wellfleet";"F";;16;41.9375
2011;"North";"Wellfleet";"F";;16;41.9375
2011;"North";"Wellfleet";"F";;15;41.9375
2011;"North";"Wellfleet";"F";;18;41.9375
2011;"North";"Wellfleet";"F";;18;41.9375
2011;"North";"Wellfleet";"F";;15;41.9375
2011;"North";"Wellfleet";"F";;15.5;41.9375
2011;"North";"Wellfleet";"F";;15.5;41.9375
2011;"North";"Wellfleet";"F";;15;41.9375
2011;"North";"Wellfleet";"F";;16;41.9375
2011;"North";"Wellfleet";"F";;15;41.9375
2011;"North";"Wellfleet";"F";;16;41.9375
2011;"North";"Wellfleet";"F";;15;41.9375
2011;"North";"Wellfleet";"F";;16;41.9375
2011;"North";"Wellfleet";"F";;17;41.9375
2011;"North";"Wellfleet";"F";;18;41.9375
2011;"North";"Wellfleet";"F";;17.5;41.9375
2011;"North";"Wellfleet";"F";;18;41.9375
2010;"South";"New Jersey";"M";;13;39.6429
2010;"South";"New Jersey";"M";;12;39.6429
2010;"South";"New Jersey";"M";;12;39.6429
2010;"South";"New Jersey";"M";;12;39.6429
2010;"South";"New Jersey";"M";;12;39.6429
2010;"South";"New Jersey";"M";;11.5;39.6429
2010;"South";"New Jersey";"M";;11;39.6429
2010;"South";"New Jersey";"M";;11;39.6429
2010;"South";"New Jersey";"M";;11;39.6429
2010;"South";"New Jersey";"M";;10.5;39.6429
2010;"South";"New Jersey";"M";;10.5;39.6429
2010;"South";"New Jersey";"M";;10;39.6429
2010;"South";"New Jersey";"M";;10;39.6429
2010;"South";"New Jersey";"M";;10;39.6429
2010;"South";"New Jersey";"M";;9.5;39.6429
2010;"South";"New Jersey";"M";;9.5;39.6429
2010;"South";"New Jersey";"M";;9;39.6429
2010;"South";"New Jersey";"M";;9;39.6429
2010;"South";"New Jersey";"M";;9;39.6429
2010;"South";"New Jersey";"F";;12;39.6429
